FLG,日付,TM,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,計,安,失
ロッテ/楽天,04/26,楽天,0,2,4,0,0,2,3,0,,,,,11,14,2,
巨人/広島,04/26,巨人,1,2,0,0,0,0,2,0,1,,,,6,11,1,
巨人/広島,04/26,広島,0,1,0,2,0,3,1,0,,,,,7,9,0,
西武/オリックス,04/26,西武,0,0,0,0,0,3,0,0,0,,,,3,4,0,
西武/オリックス,04/26,オリックス,0,0,0,0,4,0,0,0,,,,,4,8,0,
日本ハム/ソフトバンク,04/26,日本ハム,0,0,0,0,0,0,1,0,0,,,,1,5,1,
日本ハム/ソフトバンク,04/26,ソフトバンク,4,0,0,0,0,0,0,0,,,,,4,9,0,
ＤｅＮＡ/阪神,04/27,ＤｅＮＡ,0,0,1,0,1,0,0,0,0,,,,2,7,0,
ＤｅＮＡ/阪神,04/27,阪神,3,1,0,0,0,0,1,0,,,,,5,10,1,
ヤクルト/中日,04/27,ヤクルト,0,0,0,0,0,0,0,0,0,,,,0,6,1,
ヤクルト/中日,04/27,中日,2,0,0,0,0,0,0,0,,,,,2,4,0,
巨人/広島,04/27,巨人,0,0,0,0,0,0,0,0,0,,,,0,4,0,
巨人/広島,04/27,広島,0,0,0,0,1,0,0,0,,,,,1,4,1,
西武/オリックス,04/27,西武,0,0,0,0,0,2,0,0,0,,,,2,7,2,
西武/オリックス,04/27,オリックス,1,0,0,1,0,0,0,0,1,,,,3,8,0,
日本ハム/ソフトバンク,04/27,日本ハム,0,0,0,0,0,0,2,0,0,3,,,5,6,0,
日本ハム/ソフトバンク,04/27,ソフトバンク,0,0,0,0,0,0,0,2,0,2,,,4,9,0,
ソフトバンク/オリックス,04/28,ソフトバンク,0,1,0,0,0,0,2,0,0,,,,3,11,0,
ソフトバンク/オリックス,04/28,オリックス,0,0,0,0,0,1,0,0,0,,,,1,4,1,
ロッテ/西武,04/28,ロッテ,0,0,0,0,0,2,0,0,0,0,0,0,2,4,5,
ロッテ/西武,04/28,西武,0,0,1,0,0,1,0,0,0,0,0,0,2,7,2,
巨人/ヤクルト,04/28,巨人,4,0,2,1,0,0,0,0,0,,,,7,12,0,
巨人/ヤクルト,04/28,ヤクルト,0,0,0,0,0,0,0,0,0,,,,0,9,0,
広島/ＤｅＮＡ,04/28,広島,0,1,0,0,0,2,0,0,0,,,,3,9,0,
広島/ＤｅＮＡ,04/28,ＤｅＮＡ,2,0,0,2,3,0,0,2,,,,,9,13,1,
中日/阪神,04/28,中日,0,0,0,0,0,0,0,0,0,,,,0,8,0,
中日/阪神,04/28,阪神,0,0,0,2,1,0,3,0,,,,,6,9,0,
ソフトバンク/オリックス,04/29,ソフトバンク,0,1,0,0,0,0,0,0,3,,,,4,9,0,
ソフトバンク/オリックス,04/29,オリックス,1,2,3,0,0,0,0,0,,,,,6,9,0,
ロッテ/西武,04/29,ロッテ,3,0,1,0,0,0,0,0,2,,,,6,8,0,
ロッテ/西武,04/29,西武,0,0,0,0,0,0,0,3,0,,,,3,8,0,
楽天/日本ハム,04/29,楽天,0,0,0,0,0,0,2,0,0,,,,2,8,0,
楽天/日本ハム,04/29,日本ハム,0,0,1,0,1,0,0,0,1,,,,3,7,0,
巨人/ヤクルト,04/29,巨人,0,0,0,0,0,0,0,1,0,,,,1,8,0,
巨人/ヤクルト,04/29,ヤクルト,0,0,0,0,0,0,2,0,,,,,2,7,1,
広島/ＤｅＮＡ,04/29,広島,2,0,0,1,0,0,1,2,0,,,,6,11,0,
広島/ＤｅＮＡ,04/29,ＤｅＮＡ,0,0,0,0,0,0,0,1,0,,,,1,7,2,
中日/阪神,04/29,中日,2,1,0,0,0,0,0,0,3,,,,6,10,1,
中日/阪神,04/29,阪神,2,0,1,0,0,0,0,0,0,,,,3,8,3,
ソフトバンク/オリックス,04/30,ソフトバンク,0,0,0,0,0,0,1,0,1,,,,2,8,0,
ソフトバンク/オリックス,04/30,オリックス,0,1,0,0,0,0,0,0,0,,,,1,5,1,
ロッテ/西武,04/30,ロッテ,0,0,0,0,0,0,0,0,1,,,,1,3,0,
ロッテ/西武,04/30,西武,0,0,2,0,0,0,0,0,,,,,2,10,0,
楽天/日本ハム,04/30,楽天,0,0,0,1,0,0,0,0,1,,,,2,10,0,
楽天/日本ハム,04/30,日本ハム,0,0,0,0,0,0,1,0,0,,,,1,5,1,
巨人/ヤクルト,04/30,巨人,0,0,1,1,0,0,0,0,0,,,,2,8,0,
巨人/ヤクルト,04/30,ヤクルト,1,0,0,0,0,1,1,0,,,,,3,5,3,
広島/ＤｅＮＡ,04/30,広島,0,0,0,0,3,1,0,2,3,,,,9,16,0,
広島/ＤｅＮＡ,04/30,ＤｅＮＡ,2,0,5,0,0,0,1,2,,,,,10,13,0,
中日/阪神,04/30,中日,2,0,0,0,0,0,0,0,0,,,,2,7,0,
中日/阪神,04/30,阪神,0,0,2,0,0,0,0,1,,,,,3,6,1,
ＤｅＮＡ/巨人,05/02,ＤｅＮＡ,0,0,0,0,0,0,0,0,0,,,,0,5,0,
ＤｅＮＡ/巨人,05/02,巨人,1,0,0,1,2,0,1,0,,,,,5,11,0,
オリックス/楽天,05/02,オリックス,0,3,0,0,0,0,0,0,1,,,,4,8,0,
オリックス/楽天,05/02,楽天,0,0,0,0,0,0,1,0,0,,,,1,5,0,
ロッテ/日本ハム,05/02,ロッテ,0,0,0,0,0,0,0,0,0,,,,0,3,1,
ロッテ/日本ハム,05/02,日本ハム,0,3,1,1,0,6,0,0,,,,,11,11,0,
阪神/ヤクルト,05/02,阪神,1,0,0,0,0,0,0,0,0,,,,1,6,2,
阪神/ヤクルト,05/02,ヤクルト,0,1,0,0,0,0,1,2,,,,,4,12,1,
西武/ソフトバンク,05/02,西武,2,0,0,0,0,0,0,1,1,,,,4,7,0,
西武/ソフトバンク,05/02,ソフトバンク,0,4,3,0,2,0,0,5,,,,,14,17,0,
中日/広島,05/02,中日,0,0,0,1,0,0,1,0,0,,,,2,9,1,
中日/広島,05/02,広島,0,0,0,0,5,0,0,0,,,,,5,8,0,
ＤｅＮＡ/巨人,05/03,ＤｅＮＡ,0,1,0,0,0,0,0,0,0,,,,1,6,1,
ＤｅＮＡ/巨人,05/03,巨人,0,2,1,0,0,0,0,1,,,,,4,8,0,
オリックス/楽天,05/03,オリックス,0,0,0,0,0,0,0,0,2,,,,2,7,2,
オリックス/楽天,05/03,楽天,0,1,0,0,0,1,2,0,,,,,4,6,0,
ロッテ/日本ハム,05/03,ロッテ,0,0,1,0,0,0,0,0,0,,,,1,5,0,
ロッテ/日本ハム,05/03,日本ハム,0,0,1,0,0,0,0,0,1,,,,2,8,0,
阪神/ヤクルト,05/03,阪神,0,0,0,0,0,2,0,3,3,,,,8,13,1,
阪神/ヤクルト,05/03,ヤクルト,1,0,0,0,0,0,0,3,0,,,,4,8,1,
西武/ソフトバンク,05/03,西武,0,0,2,0,0,0,0,0,0,,,,2,5,0,
西武/ソフトバンク,05/03,ソフトバンク,0,0,0,4,0,1,1,0,,,,,6,9,1,
中日/広島,05/03,中日,1,1,0,0,1,0,0,0,1,,,,4,7,2,
中日/広島,05/03,広島,0,0,0,2,2,2,1,0,,,,,7,12,0,
ＤｅＮＡ/巨人,05/04,ＤｅＮＡ,0,2,2,1,0,0,0,0,0,,,,5,10,1,
ＤｅＮＡ/巨人,05/04,巨人,0,0,0,0,0,2,0,0,0,,,,2,7,1,
オリックス/楽天,05/04,オリックス,0,1,0,0,0,0,0,0,0,,,,1,7,2,
オリックス/楽天,05/04,楽天,0,0,1,0,1,0,0,0,,,,,2,6,1,
ロッテ/日本ハム,05/04,ロッテ,0,0,0,0,0,0,0,4,0,,,,4,7,0,
ロッテ/日本ハム,05/04,日本ハム,3,0,0,0,0,0,3,0,,,,,6,9,2,
阪神/ヤクルト,05/04,阪神,0,0,1,1,5,0,0,0,0,,,,7,15,0,
阪神/ヤクルト,05/04,ヤクルト,0,0,0,0,1,0,0,0,0,,,,1,5,1,
西武/ソフトバンク,05/04,西武,0,0,0,2,1,0,3,0,0,,,,6,9,1,
西武/ソフトバンク,05/04,ソフトバンク,0,1,0,2,4,0,0,2,,,,,9,8,0,
中日/広島,05/04,中日,0,0,0,4,0,2,1,0,0,,,,7,7,0,
中日/広島,05/04,広島,0,0,0,4,1,1,0,2,,,,,8,14,0,
ソフトバンク/ロッテ,05/05,ソフトバンク,0,0,0,0,0,0,0,0,3,,,,3,8,0,
ソフトバンク/ロッテ,05/05,ロッテ,0,0,2,0,0,0,0,0,0,,,,2,5,0,
ヤクルト/ＤｅＮＡ,05/05,ヤクルト,0,0,0,1,0,0,0,0,0,,,,1,7,1,
ヤクルト/ＤｅＮＡ,05/05,ＤｅＮＡ,3,0,0,0,3,0,0,0,,,,,6,8,0,
楽天/西武,05/05,楽天,0,0,0,0,0,0,1,0,0,,,,1,3,0,
楽天/西武,05/05,西武,0,0,0,4,1,0,0,2,,,,,7,13,0,
巨人/中日,05/05,巨人,0,0,0,0,1,0,0,2,0,,,,3,10,1,
巨人/中日,05/05,中日,1,0,0,1,0,0,0,0,0,,,,2,8,1,
広島/阪神,05/05,広島,0,1,0,3,0,0,0,1,0,,,,5,8,1,
広島/阪神,05/05,阪神,0,0,0,1,0,2,5,0,,,,,8,10,1,
日本ハム/オリックス,05/05,日本ハム,3,0,0,0,0,1,0,1,1,,,,6,12,0,
日本ハム/オリックス,05/05,オリックス,0,0,0,0,0,0,0,1,1,,,,2,9,0,
ソフトバンク/ロッテ,05/06,ソフトバンク,0,0,0,0,1,0,0,0,0,,,,1,6,0,
ソフトバンク/ロッテ,05/06,ロッテ,0,2,0,1,1,0,0,0,,,,,4,7,1,
ヤクルト/ＤｅＮＡ,05/06,ヤクルト,2,0,0,0,0,0,3,0,0,0,0,,5,9,1,
ヤクルト/ＤｅＮＡ,05/06,ＤｅＮＡ,0,0,0,0,0,0,0,5,0,0,1,,6,8,0,
楽天/西武,05/06,楽天,5,0,0,0,0,1,2,2,0,,,,10,20,0,
楽天/西武,05/06,西武,0,0,1,0,0,0,0,1,0,,,,2,5,0,
巨人/中日,05/06,巨人,1,0,0,1,1,0,0,0,3,,,,6,14,0,
巨人/中日,05/06,中日,0,0,0,1,0,0,0,0,0,,,,1,5,0,
広島/阪神,05/06,広島,2,2,0,2,3,0,0,0,0,,,,9,16,1,
広島/阪神,05/06,阪神,0,0,0,0,1,7,3,1,,,,,12,10,3,
日本ハム/オリックス,05/06,日本ハム,0,0,2,0,1,0,0,2,0,,,,5,11,0,
日本ハム/オリックス,05/06,オリックス,1,0,1,0,0,0,0,0,0,,,,2,8,0,
ソフトバンク/ロッテ,05/07,ソフトバンク,0,3,0,3,0,0,2,0,0,,,,8,10,0,
ソフトバンク/ロッテ,05/07,ロッテ,0,0,0,0,1,1,0,0,0,,,,2,6,1,
ヤクルト/ＤｅＮＡ,05/07,ヤクルト,5,2,0,0,1,0,0,2,2,,,,12,19,0,
ヤクルト/ＤｅＮＡ,05/07,ＤｅＮＡ,2,1,0,0,0,0,0,2,0,,,,5,13,1,
楽天/西武,05/07,楽天,0,0,3,0,0,0,0,0,0,,,,3,4,0,
楽天/西武,05/07,西武,0,0,0,0,0,0,2,0,0,,,,2,7,0,
巨人/中日,05/07,巨人,0,0,0,0,0,0,0,0,1,,,,1,5,0,
巨人/中日,05/07,中日,0,3,0,2,1,2,0,0,,,,,8,13,0,
広島/阪神,05/07,広島,0,0,0,0,0,0,0,0,0,,,,0,7,0,
広島/阪神,05/07,阪神,0,0,0,2,0,3,0,1,,,,,6,7,0,
日本ハム/オリックス,05/07,日本ハム,0,0,2,0,0,1,0,0,0,0,0,0,3,7,0,
日本ハム/オリックス,05/07,オリックス,0,0,1,2,0,0,0,0,0,0,0,1,4,13,1,
ＤｅＮＡ/中日,05/09,ＤｅＮＡ,0,0,0,0,0,2,0,1,0,,,,3,11,0,
ＤｅＮＡ/中日,05/09,中日,0,0,5,1,0,0,2,0,,,,,8,10,0,
オリックス/ソフトバンク,05/09,オリックス,0,0,1,0,0,0,0,0,0,,,,1,4,0,
オリックス/ソフトバンク,05/09,ソフトバンク,0,1,0,0,1,0,0,0,,,,,2,6,0,
ロッテ/楽天,05/09,ロッテ,0,0,2,3,0,1,0,0,0,,,,6,8,0,
ロッテ/楽天,05/09,楽天,0,0,0,0,0,0,2,1,1,,,,4,10,0,
広島/ヤクルト,05/09,広島,0,1,0,0,0,0,0,1,0,0,0,0,2,5,2,
広島/ヤクルト,05/09,ヤクルト,0,0,0,2,0,0,0,0,0,0,0,1,3,6,0,
阪神/巨人,05/09,阪神,2,0,2,0,0,0,0,0,0,,,,4,9,0,
阪神/巨人,05/09,巨人,0,1,0,0,0,0,1,0,0,,,,2,8,0,
西武/日本ハム,05/09,西武,0,0,4,1,0,0,2,0,0,,,,7,16,0,
西武/日本ハム,05/09,日本ハム,1,1,0,0,0,0,0,0,0,,,,2,5,1,
ＤｅＮＡ/中日,05/10,ＤｅＮＡ,0,0,0,2,1,0,0,0,0,,,,3,6,0,
ＤｅＮＡ/中日,05/10,中日,0,0,0,0,1,0,0,0,0,,,,1,5,0,
オリックス/ソフトバンク,05/10,オリックス,0,0,1,0,1,0,0,0,0,0,,,2,7,0,
オリックス/ソフトバンク,05/10,ソフトバンク,0,1,0,0,1,0,0,0,0,1,,,3,9,1,
ロッテ/楽天,05/10,ロッテ,0,0,0,0,0,0,0,0,0,,,,0,5,0,
ロッテ/楽天,05/10,楽天,4,1,0,0,0,0,0,0,,,,,5,4,0,
広島/ヤクルト,05/10,広島,3,0,2,0,0,0,2,0,1,,,,8,13,1,
広島/ヤクルト,05/10,ヤクルト,0,2,0,0,4,0,0,0,1,,,,7,7,0,
阪神/巨人,05/10,阪神,0,2,0,0,0,4,0,0,1,,,,7,10,1,
阪神/巨人,05/10,巨人,2,0,4,1,2,0,0,0,,,,,9,10,0,
西武/日本ハム,05/10,西武,1,0,0,0,0,0,0,0,0,,,,1,7,2,
西武/日本ハム,05/10,日本ハム,1,0,1,0,0,0,0,0,,,,,2,7,1,
ＤｅＮＡ/中日,05/11,ＤｅＮＡ,1,0,0,0,0,0,3,0,0,,,,4,12,0,
ＤｅＮＡ/中日,05/11,中日,0,0,0,3,0,0,0,0,0,,,,3,6,0,
オリックス/ソフトバンク,05/11,オリックス,0,0,0,0,0,0,0,0,0,,,,0,2,0,
オリックス/ソフトバンク,05/11,ソフトバンク,0,1,0,0,0,1,5,0,,,,,7,12,0,
ロッテ/楽天,05/11,ロッテ,0,1,0,0,0,0,0,0,0,,,,1,8,1,
ロッテ/楽天,05/11,楽天,3,0,0,1,0,0,0,0,,,,,4,6,1,
広島/ヤクルト,05/11,広島,0,0,1,1,0,0,0,1,0,,,,3,8,2,
広島/ヤクルト,05/11,ヤクルト,0,1,1,2,0,3,0,5,,,,,12,15,0,
ロッテ/日本ハム,05/12,ロッテ,0,0,0,0,1,0,0,0,0,,,,1,5,1,
ロッテ/日本ハム,05/12,日本ハム,0,1,3,2,9,0,0,0,,,,,15,13,1,
阪神/ＤｅＮＡ,05/12,阪神,0,0,0,1,0,1,0,2,0,,,,4,9,0,
阪神/ＤｅＮＡ,05/12,ＤｅＮＡ,0,0,0,1,0,0,0,0,0,,,,1,10,0,
西武/オリックス,05/12,西武,1,0,2,0,3,0,1,3,1,,,,11,17,0,
西武/オリックス,05/12,オリックス,0,0,0,0,0,0,0,0,0,,,,0,5,1,
ロッテ/日本ハム,05/13,ロッテ,0,0,1,4,0,0,0,1,0,,,,6,8,1,
ロッテ/日本ハム,05/13,日本ハム,0,3,2,0,0,4,0,2,,,,,11,13,0,
楽天/ソフトバンク,05/13,楽天,0,0,0,0,0,0,0,2,0,,,,2,7,1,
楽天/ソフトバンク,05/13,ソフトバンク,2,0,0,0,0,0,1,0,,,,,3,7,1,
巨人/広島,05/13,巨人,0,0,0,2,0,0,0,0,0,,,,2,6,2,
巨人/広島,05/13,広島,3,0,1,0,0,1,0,6,,,,,11,13,0,
西武/オリックス,05/13,西武,0,1,1,1,0,2,2,1,0,,,,8,13,0,
西武/オリックス,05/13,オリックス,0,0,0,1,0,1,0,0,0,,,,2,11,1,
中日/ヤクルト,05/13,中日,0,0,1,0,0,0,0,0,3,,,,4,6,1,
中日/ヤクルト,05/13,ヤクルト,0,2,0,0,0,0,1,0,0,,,,3,11,0,
ロッテ/日本ハム,05/14,ロッテ,0,2,0,0,0,0,0,0,0,,,,2,6,0,
ロッテ/日本ハム,05/14,日本ハム,0,0,2,0,1,1,0,0,,,,,4,8,0,
楽天/ソフトバンク,05/14,楽天,1,0,0,0,6,0,2,0,0,,,,9,12,1,
楽天/ソフトバンク,05/14,ソフトバンク,0,0,0,0,0,0,1,1,0,,,,2,7,0,
巨人/広島,05/14,巨人,1,0,0,0,0,0,0,0,0,,,,1,4,1,
巨人/広島,05/14,広島,0,0,1,0,0,2,2,3,,,,,8,12,1,
阪神/ＤｅＮＡ,05/14,阪神,0,2,0,0,0,0,0,0,2,,,,4,8,1,
阪神/ＤｅＮＡ,05/14,ＤｅＮＡ,2,0,0,0,0,0,0,0,0,,,,2,5,1,
西武/オリックス,05/14,西武,3,0,0,0,1,0,0,0,2,,,,6,10,0,
西武/オリックス,05/14,オリックス,1,0,0,0,0,0,0,0,0,,,,1,7,0,
中日/ヤクルト,05/14,中日,1,0,0,0,0,0,0,0,0,,,,1,10,0,
中日/ヤクルト,05/14,ヤクルト,0,1,0,0,0,0,0,0,4,,,,5,8,0,
ＤｅＮＡ/広島,05/16,ＤｅＮＡ,0,0,0,0,1,0,0,0,0,,,,1,5,0,
ＤｅＮＡ/広島,05/16,広島,0,0,0,0,5,0,0,5,,,,,10,9,2,
ソフトバンク/オリックス,05/16,ソフトバンク,0,0,0,0,1,1,0,0,0,,,,2,8,0,
ソフトバンク/オリックス,05/16,オリックス,0,0,0,1,1,0,0,1,,,,,3,8,1,
ヤクルト/巨人,05/16,ヤクルト,0,0,0,0,0,0,1,0,0,,,,1,7,1,
ヤクルト/巨人,05/16,巨人,2,0,0,0,3,0,0,0,,,,,5,6,1,
西武/ロッテ,05/16,西武,0,0,0,0,3,0,0,0,0,,,,3,11,0,
西武/ロッテ,05/16,ロッテ,0,0,0,0,1,0,0,1,0,,,,2,8,1,
中日/阪神,05/16,中日,0,0,0,0,1,0,0,0,0,,,,1,6,1,
中日/阪神,05/16,阪神,3,0,0,0,3,2,0,0,,,,,8,6,1,
日本ハム/楽天,05/16,日本ハム,1,0,0,0,0,1,1,1,0,,,,4,6,1,
日本ハム/楽天,05/16,楽天,0,0,3,1,0,0,2,0,,,,,6,12,1,
ＤｅＮＡ/広島,05/17,ＤｅＮＡ,0,0,0,0,0,1,0,0,3,1,,,5,6,0,
ＤｅＮＡ/広島,05/17,広島,0,0,0,0,0,0,4,0,0,0,,,4,10,3,
ソフトバンク/オリックス,05/17,ソフトバンク,1,0,1,0,0,3,1,0,0,,,,6,8,1,
ソフトバンク/オリックス,05/17,オリックス,0,0,0,0,0,0,0,2,1,,,,3,10,1,
ヤクルト/巨人,05/17,ヤクルト,2,0,0,0,2,3,0,0,0,,,,7,14,0,
ヤクルト/巨人,05/17,巨人,0,0,0,0,0,0,0,0,0,,,,0,5,0,
西武/ロッテ,05/17,西武,0,0,3,1,0,1,2,1,0,,,,8,17,0,
西武/ロッテ,05/17,ロッテ,3,0,0,0,0,0,0,0,1,,,,4,6,0,
中日/阪神,05/17,中日,0,0,0,0,0,0,1,0,0,,,,1,8,1,
中日/阪神,05/17,阪神,0,0,0,0,1,0,0,1,,,,,2,3,0,
日本ハム/楽天,05/17,日本ハム,5,0,0,0,0,0,0,1,0,,,,6,6,1,
日本ハム/楽天,05/17,楽天,0,6,0,0,0,0,4,5,,,,,15,20,0,
ＤｅＮＡ/広島,05/18,ＤｅＮＡ,2,0,0,0,0,0,0,0,0,,,,2,9,2,
ＤｅＮＡ/広島,05/18,広島,4,2,0,0,3,0,0,0,,,,,9,13,0,
ソフトバンク/オリックス,05/18,ソフトバンク,0,0,1,0,1,0,1,3,1,,,,7,11,1,
ソフトバンク/オリックス,05/18,オリックス,1,0,0,1,0,0,0,0,0,,,,2,9,0,
ヤクルト/巨人,05/18,ヤクルト,0,0,1,0,0,0,0,0,0,,,,1,4,0,
ヤクルト/巨人,05/18,巨人,0,0,0,0,0,0,0,0,0,,,,0,9,1,
西武/ロッテ,05/18,西武,0,1,2,0,1,0,0,0,1,,,,5,5,0,
西武/ロッテ,05/18,ロッテ,0,0,0,0,0,0,0,0,1,,,,1,6,2,
中日/阪神,05/18,中日,0,0,0,0,1,0,0,1,0,,,,2,7,0,
中日/阪神,05/18,阪神,1,0,0,0,0,0,0,0,0,,,,1,7,0,
オリックス/日本ハム,05/19,オリックス,0,0,0,0,0,1,1,0,0,,,,2,12,3,
オリックス/日本ハム,05/19,日本ハム,1,2,3,0,0,0,0,1,,,,,7,10,0,
ソフトバンク/西武,05/19,ソフトバンク,0,1,0,0,0,0,1,0,0,,,,2,9,0,
ソフトバンク/西武,05/19,西武,0,1,0,0,0,0,0,0,0,,,,1,7,0,
楽天/ロッテ,05/19,楽天,0,1,0,0,0,0,1,0,1,0,,,3,9,0,
楽天/ロッテ,05/19,ロッテ,0,0,2,0,0,1,0,0,0,1,,,4,10,1,
巨人/ＤｅＮＡ,05/19,巨人,0,0,0,0,0,0,2,0,1,2,,,5,6,1,
巨人/ＤｅＮＡ,05/19,ＤｅＮＡ,0,0,0,0,0,0,3,0,0,0,,,3,9,0,
広島/中日,05/19,広島,0,0,0,0,1,1,0,0,1,0,,,3,7,0,
広島/中日,05/19,中日,0,1,0,1,0,1,0,0,0,2,,,5,11,0,
阪神/ヤクルト,05/19,阪神,0,0,0,0,0,1,0,1,0,,,,2,6,0,
阪神/ヤクルト,05/19,ヤクルト,2,0,1,0,0,0,0,1,,,,,4,7,0,
オリックス/日本ハム,05/20,オリックス,0,0,3,0,0,0,0,0,0,,,,3,10,1,
オリックス/日本ハム,05/20,日本ハム,0,2,2,1,0,0,2,0,,,,,7,10,0,
ソフトバンク/西武,05/20,ソフトバンク,1,0,1,0,2,0,1,0,0,,,,5,8,0,
ソフトバンク/西武,05/20,西武,0,5,2,0,0,0,0,0,,,,,7,8,2,
楽天/ロッテ,05/20,楽天,0,0,0,0,0,0,0,0,0,0,0,2,2,9,1,
楽天/ロッテ,05/20,ロッテ,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,
巨人/ＤｅＮＡ,05/20,巨人,0,4,0,0,0,0,0,0,0,,,,4,6,0,
巨人/ＤｅＮＡ,05/20,ＤｅＮＡ,2,0,0,0,2,2,0,0,,,,,6,11,0,
広島/中日,05/20,広島,0,0,0,1,0,0,0,0,0,,,,1,6,1,
広島/中日,05/20,中日,0,1,0,0,0,1,0,0,,,,,2,9,0,
阪神/ヤクルト,05/20,阪神,0,1,0,0,0,0,2,0,0,,,,3,10,0,
阪神/ヤクルト,05/20,ヤクルト,0,0,4,0,0,3,1,0,,,,,8,9,0,
オリックス/日本ハム,05/21,オリックス,0,0,0,0,1,0,0,0,0,,,,1,6,1,
オリックス/日本ハム,05/21,日本ハム,0,0,1,0,1,0,2,0,,,,,4,5,1,
ソフトバンク/西武,05/21,ソフトバンク,0,0,0,0,0,5,0,0,1,,,,6,9,0,
ソフトバンク/西武,05/21,西武,1,0,3,0,0,1,0,1,1,,,,7,11,0,
